microRNA ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC06	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-103a-3p	5,163545296	11,57707449	11,41309794	11,51643425	12,60995185	8,778764507	4,961125624	8,416203307	12,72669828	12,31332566	9,400953819	12,0371858	12,71785276	11,59085384	11,62547277	12,87347926	12,00117269	12,57084502	5,811664492	12,28169013	9,937013472	10,93054311	12,96089037	11,44102025
miR-4308-3p	5,163545296	3,142014703	2,303943074	4,26076429	3,006802214	3,402102199	4,748982976	4,092119117	2,02186266	1,619609735	3,178592734	0,278629912	0,850518341	2,639616138	2,444259879	1,191001403	2,27423509	0,670647104	2,802327234	1,161673047	1,396641205	2,05371522	1,086615256	2,358352588
miR-3159-3p	5,163545296	4,928491626	4,46354564	4,010876359	4,878024245	4,233772269	3,818762076	4,340030617	4,386858891	4,432131148	3,614633483	4,579067045	4,851302712	2,529293619	4,70827902	3,55529053	3,724135142	3,113329734	5,681530119	3,929401762	4,13853392	4,489438264	4,822454518	5,27590458
miR-532-5p	5,163545296	8,697653463	7,606348347	7,559793104	8,170899954	7,057304952	4,748982976	6,96547565	9,45282761	8,507115658	7,732967358	8,297402427	10,37762416	7,863340396	7,686262096	9,795515412	9,595625526	8,62033778	5,366703388	9,474229876	7,756827453	8,394537573	11,37158488	7,992185682
miR-3680-2-3p	5,116598674	7,606536008	7,016605904	6,612162839	7,795380344	8,343572689	5,622117794	5,591899446	6,506019631	6,320789895	7,138044437	5,41986568	7,583604772	6,356293697	4,390039136	5,109789964	7,818317057	5,188256792	6,62426807	6,381641624	6,185884924	7,523004052	6,661619285	6,160886258
miR-222-3p	5,116598674	10,37008512	9,697038083	9,875407807	11,7114591	9,531537314	7,692474911	10,51802149	11,31882506	12,17401557	10,35476371	11,75611213	12,11862696	10,8928506	10,63736057	11,12319165	12,14166175	11,52626976	8,162265362	11,33487341	9,952019562	11,04710895	12,85463496	11,3359898
miR-601-5p	5,116598674	5,702589974	5,505090108	4,65919842	4,330895392	6,026391863	4,910942233	5,792488622	5,190450568	5,131458919	5,911118769	4,790961745	3,776436281	4,107864404	6,145153909	3,718803233	2,580108733	3,441038184	3,419849752	3,02603461	4,262236554	3,930651309	3,557705375	7,091199769
miR-663b-5p	5,116598674	2,902266058	2,303943074	0,572557243	2,054062228	3,877054436	3,300358794	3,792582238	1,863774888	0,964078403	1,79193098	1,838543829	2,285141254	2,279575867	0,642806741	2,563382118	2,27423509	0,670647104	4,349904219	2,20181296	1,774537871	2,395466695	1,851448184	1,9682012
miR-939-5p	5,116598674	3,347541281	2,699296833	-1,90150576	2,326561971	4,582940469	6,487322046	4,022861442	1,686207772	1,619609735	4,33893376	3,209259875	2,918618394	4,253776394	2,75192719	2,461483528	0,49579811	-0,49606481	5,110735561	2,954526947	4,580134327	0,950294335	2,79692598	4,005692074
miR-1303-3p	5,116598674	3,687312407	4,357976164	3,234787105	4,234936284	4,152516925	4,629936966	5,114435441	4,357496041	4,095856474	4,220297843	5,403847363	4,163960696	4,507625653	4,298157043	4,949650255	4,622909748	4,96180229	4,18234441	4,839380741	5,25213956	3,703723107	5,532898161	3,852317665
miR-5195-3p	5,116598674	3,7848483	2,056464556	-1,90150576	4,391496206	6,136139103	4,805014061	4,281931172	2,164325539	4,608386898	3,517347819	1,838543829	3,64979274	1,072269844	2,606279632	3,370848177	4,457723135	0,202151225	5,772858707	3,641382357	4,917768535	4,779058967	5,308037934	4,005692074
miR-26a-2-5p	5,068072833	14,10762787	13,8219588	13,7746309	14,43107275	10,92142544	7,493717633	10,34999608	15,20934265	14,04478862	12,19214364	13,99542743	15,62688243	12,71700221	13,10442095	14,96372028	14,81794431	14,64555364	8,533131164	14,41896943	12,09276757	13,88302692	16,18894999	14,30919412
miR-6836-3p	5,068072833	3,582701203	4,054330584	2,363349852	4,559375434	6,456968704	4,357582169	5,114435441	3,948724141	2,555368096	6,05672086	5,720720893	5,18394524	7,182281185	4,517742646	4,968346987	5,275368478	4,39315919	4,546767463	5,509893406	3,930487525	4,416342204	4,053219003	3,987388567
miR-106b-3p	5,068072833	7,964954272	7,80018594	7,88037879	8,530528112	8,050257478	2,483383875	7,139153879	8,817822864	8,509338688	7,225346001	8,759059308	8,771862771	9,665848323	8,542464116	8,960243129	8,136002194	9,029048292	6,375030182	8,478760557	8,779421497	8,441345775	8,265079819	8,104718779
miR-561-3p	5,068072833	2,902266058	3,142421391	-1,90150576	1,717818661	3,659035673	3,135325166	3,41410806	3,593281584	2,807411841	3,614633483	3,349667882	1,128966319	2,136382742	2,261715456	1,627275655	2,155943042	2,356927292	3,516977972	3,02603461	1,774537871	3,640939272	1,694837756	1,810560104
miR-1247-5p	5,068072833	3,919802633	3,98510293	4,116079578	5,047666697	3,536281141	4,199331861	3,615720757	5,068903288	4,574816439	4,973613666	4,22516265	4,741724581	6,157383902	4,039043033	4,293956223	4,905496263	3,933042897	4,799342857	5,365739151	4,991130214	3,877177169	5,105161963	4,005692074
